rgn_id,year,value
1804,2013,0.619839140529518
1805,2013,0.619839140529518
1811,2013,0.619839140529518
1812,2013,0.619839140529518
1813,2013,0.619839140529518
1815,2013,0.619839140529518
1816,2013,0.619839140529518
1818,2013,0.619839140529518
1820,2013,0.619839140529518
1822,2013,0.619839140529518
1824,2013,0.619839140529518
1827,2013,0.619839140529518
1828,2013,0.619839140529518
1832,2013,0.619839140529518
1833,2013,0.619839140529518
1834,2013,0.619839140529518
1835,2013,0.619839140529518
1836,2013,0.619839140529518
1837,2013,0.619839140529518
1838,2013,0.619839140529518
1840,2013,0.619839140529518
1841,2013,0.619839140529518
1845,2013,0.619839140529518
1848,2013,0.619839140529518
1849,2013,0.619839140529518
1850,2013,0.619839140529518
1851,2013,0.619839140529518
1852,2013,0.619839140529518
1853,2013,0.619839140529518
1854,2013,0.619839140529518
1856,2013,0.619839140529518
1857,2013,0.619839140529518
1859,2013,0.619839140529518
1860,2013,0.619839140529518
1865,2013,0.619839140529518
1866,2013,0.619839140529518
1867,2013,0.619839140529518
1868,2013,0.619839140529518
1870,2013,0.619839140529518
1871,2013,0.619839140529518
1874,2013,0.619839140529518
1902,2013,0.619839140529518
1903,2013,0.619839140529518
1911,2013,0.619839140529518
1913,2013,0.619839140529518
1917,2013,0.619839140529518
1919,2013,0.619839140529518
1920,2013,0.619839140529518
1923,2013,0.619839140529518
1924,2013,0.619839140529518
1925,2013,0.619839140529518
1926,2013,0.619839140529518
1927,2013,0.619839140529518
1928,2013,0.619839140529518
1929,2013,0.619839140529518
1931,2013,0.619839140529518
1933,2013,0.619839140529518
1936,2013,0.619839140529518
1938,2013,0.619839140529518
1939,2013,0.619839140529518
1940,2013,0.619839140529518
1941,2013,0.619839140529518
1942,2013,0.619839140529518
1943,2013,0.619839140529518
2002,2013,0.619839140529518
2003,2013,0.619839140529518
2004,2013,0.619839140529518
2012,2013,0.619839140529518
2014,2013,0.619839140529518
2015,2013,0.619839140529518
2017,2013,0.619839140529518
2018,2013,0.619839140529518
2019,2013,0.619839140529518
2020,2013,0.619839140529518
2022,2013,0.619839140529518
2023,2013,0.619839140529518
2024,2013,0.619839140529518
2025,2013,0.619839140529518
2027,2013,0.619839140529518
2028,2013,0.619839140529518
2030,2013,0.619839140529518
