rgn_id,habitat,year,trend
1804,mangrove,2018,2018
1805,mangrove,2018,2018
1811,mangrove,2018,2018
1812,mangrove,2018,2018
1813,mangrove,2018,2018
1815,mangrove,2018,2018
1816,mangrove,2018,2018
1818,mangrove,2018,2018
1820,mangrove,2018,2018
1822,mangrove,2018,2018
1824,mangrove,2018,2018
1827,mangrove,2018,2018
1828,mangrove,2018,2018
1832,mangrove,2018,2018
1833,mangrove,2018,2018
1834,mangrove,2018,2018
1835,mangrove,2018,2018
1836,mangrove,2018,2018
1837,mangrove,2018,2018
1838,mangrove,2018,2018
1840,mangrove,2018,2018
1841,mangrove,2018,2018
1845,mangrove,2018,2018
1848,mangrove,2018,2018
1849,mangrove,2018,2018
1850,mangrove,2018,2018
1851,mangrove,2018,2018
1852,mangrove,2018,2018
1853,mangrove,2018,2018
1854,mangrove,2018,2018
1856,mangrove,2018,2018
1857,mangrove,2018,2018
1859,mangrove,2018,2018
1860,mangrove,2018,2018
1865,mangrove,2018,2018
1866,mangrove,2018,2018
1867,mangrove,2018,2018
1868,mangrove,2018,2018
1870,mangrove,2018,2018
1871,mangrove,2018,2018
1874,mangrove,2018,2018
1902,mangrove,2018,2018
1903,mangrove,2018,2018
1911,mangrove,2018,2018
1913,mangrove,2018,2018
1917,mangrove,2018,2018
1919,mangrove,2018,2018
1920,mangrove,2018,2018
1923,mangrove,2018,2018
1924,mangrove,2018,2018
1925,mangrove,2018,2018
1926,mangrove,2018,2018
1927,mangrove,2018,2018
1928,mangrove,2018,2018
1929,mangrove,2018,2018
1931,mangrove,2018,2018
1933,mangrove,2018,2018
1936,mangrove,2018,2018
1938,mangrove,2018,2018
1939,mangrove,2018,2018
1940,mangrove,2018,2018
1941,mangrove,2018,2018
1942,mangrove,2018,2018
1943,mangrove,2018,2018
2002,mangrove,2018,2018
2003,mangrove,2018,2018
2004,mangrove,2018,2018
2012,mangrove,2018,2018
2014,mangrove,2018,2018
2015,mangrove,2018,2018
2017,mangrove,2018,2018
2018,mangrove,2018,2018
2019,mangrove,2018,2018
2020,mangrove,2018,2018
2022,mangrove,2018,2018
2023,mangrove,2018,2018
2024,mangrove,2018,2018
2025,mangrove,2018,2018
2027,mangrove,2018,2018
2028,mangrove,2018,2018
2030,mangrove,2018,2018
