rgn_id,year,status
1804,2012,66.23
1804,2013,76.02
1805,2012,66.23
1805,2013,76.02
1811,2012,66.23
1811,2013,76.02
1812,2012,66.23
1812,2013,76.02
1813,2012,66.23
1813,2013,76.02
1815,2012,66.23
1815,2013,76.02
1816,2012,66.23
1816,2013,76.02
1818,2012,66.23
1818,2013,76.02
1820,2012,66.23
1820,2013,76.02
1822,2012,66.23
1822,2013,76.02
1824,2012,66.23
1824,2013,76.02
1827,2012,66.23
1827,2013,76.02
1828,2012,66.23
1828,2013,76.02
1832,2012,66.23
1832,2013,76.02
1833,2012,66.23
1833,2013,76.02
1834,2012,66.23
1834,2013,76.02
1835,2012,66.23
1835,2013,76.02
1836,2012,66.23
1836,2013,76.02
1837,2012,66.23
1837,2013,76.02
1838,2012,66.23
1838,2013,76.02
1840,2012,66.23
1840,2013,76.02
1841,2012,66.23
1841,2013,76.02
1845,2012,66.23
1845,2013,76.02
1848,2012,66.23
1848,2013,76.02
1849,2012,66.23
1849,2013,76.02
1850,2012,66.23
1850,2013,76.02
1851,2012,66.23
1851,2013,76.02
1852,2012,66.23
1852,2013,76.02
1853,2012,66.23
1853,2013,76.02
1854,2012,66.23
1854,2013,76.02
1856,2012,66.23
1856,2013,76.02
1857,2012,66.23
1857,2013,76.02
1859,2012,66.23
1859,2013,76.02
1860,2012,66.23
1860,2013,76.02
1865,2012,66.23
1865,2013,76.02
1866,2012,66.23
1866,2013,76.02
1867,2012,66.23
1867,2013,76.02
1868,2012,66.23
1868,2013,76.02
1870,2012,66.23
1870,2013,76.02
1871,2012,66.23
1871,2013,76.02
1874,2012,66.23
1874,2013,76.02
1902,2012,66.23
1902,2013,76.02
1903,2012,66.23
1903,2013,76.02
1911,2012,66.23
1911,2013,76.02
1913,2012,66.23
1913,2013,76.02
1917,2012,66.23
1917,2013,76.02
1919,2012,66.23
1919,2013,76.02
1920,2012,66.23
1920,2013,76.02
1923,2012,66.23
1923,2013,76.02
1924,2012,66.23
1924,2013,76.02
1925,2012,66.23
1925,2013,76.02
1926,2012,66.23
1926,2013,76.02
1927,2012,66.23
1927,2013,76.02
1928,2012,66.23
1928,2013,76.02
1929,2012,66.23
1929,2013,76.02
1931,2012,66.23
1931,2013,76.02
1933,2012,66.23
1933,2013,76.02
1936,2012,66.23
1936,2013,76.02
1938,2012,66.23
1938,2013,76.02
1939,2012,66.23
1939,2013,76.02
1940,2012,66.23
1940,2013,76.02
1941,2012,66.23
1941,2013,76.02
1942,2012,66.23
1942,2013,76.02
1943,2012,66.23
1943,2013,76.02
2002,2012,66.23
2002,2013,76.02
2003,2012,66.23
2003,2013,76.02
2004,2012,66.23
2004,2013,76.02
2012,2012,66.23
2012,2013,76.02
2014,2012,66.23
2014,2013,76.02
2015,2012,66.23
2015,2013,76.02
2017,2012,66.23
2017,2013,76.02
2018,2012,66.23
2018,2013,76.02
2019,2012,66.23
2019,2013,76.02
2020,2012,66.23
2020,2013,76.02
2022,2012,66.23
2022,2013,76.02
2023,2012,66.23
2023,2013,76.02
2024,2012,66.23
2024,2013,76.02
2025,2012,66.23
2025,2013,76.02
2027,2012,66.23
2027,2013,76.02
2028,2012,66.23
2028,2013,76.02
2030,2012,66.23
2030,2013,76.02
