rgn_id,resilience.score
1804,1
1805,1
1811,1
1812,1
1813,1
1815,1
1816,1
1818,1
1820,1
1822,1
1824,1
1827,1
1828,1
1832,1
1833,1
1834,1
1835,1
1836,1
1837,1
1838,1
1840,1
1841,1
1845,1
1848,1
1849,1
1850,1
1851,1
1852,1
1853,1
1854,1
1856,1
1857,1
1859,1
1860,1
1865,1
1866,1
1867,1
1868,1
1870,1
1871,1
1874,1
1902,1
1903,1
1911,1
1913,1
1917,1
1919,1
1920,1
1923,1
1924,1
1925,1
1926,1
1927,1
1928,1
1929,1
1931,1
1933,1
1936,1
1938,1
1939,1
1940,1
1941,1
1942,1
1943,1
2002,1
2003,1
2004,1
2012,1
2014,1
2015,1
2017,1
2018,1
2019,1
2020,1
2022,1
2023,1
2024,1
2025,1
2027,1
2028,1
2030,1
