rgn_id,label
1804,Norway
1805,Norway
1811,Norway
1812,Norway
1813,Norway
1815,Norway
1816,Norway
1818,Norway
1820,Norway
1822,Norway
1824,Norway
1827,Norway
1828,Norway
1832,Norway
1833,Norway
1834,Norway
1835,Norway
1836,Norway
1837,Norway
1838,Norway
1840,Norway
1841,Norway
1845,Norway
1848,Norway
1849,Norway
1850,Norway
1851,Norway
1852,Norway
1853,Norway
1854,Norway
1856,Norway
1857,Norway
1859,Norway
1860,Norway
1865,Norway
1866,Norway
1867,Norway
1868,Norway
1870,Norway
1871,Norway
1874,Norway
1902,Norway
1903,Norway
1911,Norway
1913,Norway
1917,Norway
1919,Norway
1920,Norway
1923,Norway
1924,Norway
1925,Norway
1926,Norway
1927,Norway
1928,Norway
1929,Norway
1931,Norway
1933,Norway
1936,Norway
1938,Norway
1939,Norway
1940,Norway
1941,Norway
1942,Norway
1943,Norway
2002,Norway
2003,Norway
2004,Norway
2012,Norway
2014,Norway
2015,Norway
2017,Norway
2018,Norway
2019,Norway
2020,Norway
2022,Norway
2023,Norway
2024,Norway
2025,Norway
2027,Norway
2028,Norway
2030,Norway
