rgn_id,type,label
1804,eez,Bodo
1805,eez,Narvik
1811,eez,Bindal
1812,eez,Somna
1813,eez,Bronnoy
1815,eez,Vega
1816,eez,Vevelstad
1818,eez,Heroy
1820,eez,Alstahaug
1822,eez,Leirfjord
1824,eez,Vefsn
1827,eez,Donna
1828,eez,Nesna
1832,eez,Hemnes
1833,eez,Rana
1834,eez,Luroy
1835,eez,Traena
1836,eez,Rodoy
1837,eez,Meloy
1838,eez,Gildeskal
1840,eez,Saltdal
1841,eez,Fauske
1845,eez,Sorfold
1848,eez,Steigen
1849,eez,Hamaroy
1850,eez,Tysfjord
1851,eez,Lodingen
1852,eez,Tjeldsund
1853,eez,Evenes
1854,eez,Ballangen
1856,eez,Rost
1857,eez,Vaeroy
1859,eez,Flakstad
1860,eez,Vestvagoy
1865,eez,Vagan
1866,eez,Hadsel
1867,eez,Bo
1868,eez,Oksnes
1870,eez,Sortland
1871,eez,Andoy
1874,eez,Moskenes
1902,eez,Tromso
1903,eez,Harstad
1911,eez,Kvaefjord
1913,eez,Skanland
1917,eez,Ibestad
1919,eez,Gratangen
1920,eez,Lavangen
1923,eez,Salangen
1924,eez,Malselv
1925,eez,Sorreisa
1926,eez,Dyroy
1927,eez,Tranoy
1928,eez,Torsken
1929,eez,Berg
1931,eez,Lenvik
1933,eez,Balsfjord
1936,eez,Karlsoy
1938,eez,Lyngen
1939,eez,Storfjord
1940,eez,Kafjord
1941,eez,Skjervoy
1942,eez,Nordreisa
1943,eez,Kvaenangen
2002,eez,Vardo
2003,eez,Vadso
2004,eez,Hammerfest
2012,eez,Alta
2014,eez,Loppa
2015,eez,Hasvik
2017,eez,Kvalsund
2018,eez,Masoy
2019,eez,Nordkapp
2020,eez,Porsanger
2022,eez,Lebesby
2023,eez,Gamvik
2024,eez,Berlevag
2025,eez,Tana
2027,eez,Nesseby
2028,eez,Batsfjord
2030,eez,Sor-Varanger
