rgn_id,pressures.score
1804,0.043254962281375
1805,0.043254962281375
1811,0.043254962281375
1812,0.043254962281375
1813,0.043254962281375
1815,0.043254962281375
1816,0.043254962281375
1818,0.043254962281375
1820,0.043254962281375
1822,0.043254962281375
1824,0.043254962281375
1827,0.043254962281375
1828,0.043254962281375
1832,0.043254962281375
1833,0.043254962281375
1834,0.043254962281375
1835,0.043254962281375
1836,0.043254962281375
1837,0.043254962281375
1838,0.043254962281375
1840,0.043254962281375
1841,0.043254962281375
1845,0.043254962281375
1848,0.043254962281375
1849,0.043254962281375
1850,0.043254962281375
1851,0.043254962281375
1852,0.043254962281375
1853,0.043254962281375
1854,0.043254962281375
1856,0.043254962281375
1857,0.043254962281375
1859,0.043254962281375
1860,0.043254962281375
1865,0.043254962281375
1866,0.043254962281375
1867,0.043254962281375
1868,0.043254962281375
1870,0.043254962281375
1871,0.043254962281375
1874,0.043254962281375
1902,0.043254962281375
1903,0.043254962281375
1911,0.043254962281375
1913,0.043254962281375
1917,0.043254962281375
1919,0.043254962281375
1920,0.043254962281375
1923,0.043254962281375
1924,0.043254962281375
1925,0.043254962281375
1926,0.043254962281375
1927,0.043254962281375
1928,0.043254962281375
1929,0.043254962281375
1931,0.043254962281375
1933,0.043254962281375
1936,0.043254962281375
1938,0.043254962281375
1939,0.043254962281375
1940,0.043254962281375
1941,0.043254962281375
1942,0.043254962281375
1943,0.043254962281375
2002,0.043254962281375
2003,0.043254962281375
2004,0.043254962281375
2012,0.043254962281375
2014,0.043254962281375
2015,0.043254962281375
2017,0.043254962281375
2018,0.043254962281375
2019,0.043254962281375
2020,0.043254962281375
2022,0.043254962281375
2023,0.043254962281375
2024,0.043254962281375
2025,0.043254962281375
2027,0.043254962281375
2028,0.043254962281375
2030,0.043254962281375
