rgn_id,score
1804,-0.0130759543500885
1805,-0.0130759543500885
1811,-0.0130759543500885
1812,-0.0130759543500885
1813,-0.0130759543500885
1815,-0.0130759543500885
1816,-0.0130759543500885
1818,-0.0130759543500885
1820,-0.0130759543500885
1822,-0.0130759543500885
1824,-0.0130759543500885
1827,-0.0130759543500885
1828,-0.0130759543500885
1832,-0.0130759543500885
1833,-0.0130759543500885
1834,-0.0130759543500885
1835,-0.0130759543500885
1836,-0.0130759543500885
1837,-0.0130759543500885
1838,-0.0130759543500885
1840,-0.0130759543500885
1841,-0.0130759543500885
1845,-0.0130759543500885
1848,-0.0130759543500885
1849,-0.0130759543500885
1850,-0.0130759543500885
1851,-0.0130759543500885
1852,-0.0130759543500885
1853,-0.0130759543500885
1854,-0.0130759543500885
1856,-0.0130759543500885
1857,-0.0130759543500885
1859,-0.0130759543500885
1860,-0.0130759543500885
1865,-0.0130759543500885
1866,-0.0130759543500885
1867,-0.0130759543500885
1868,-0.0130759543500885
1870,-0.0130759543500885
1871,-0.0130759543500885
1874,-0.0130759543500885
1902,-0.0130759543500885
1903,-0.0130759543500885
1911,-0.0130759543500885
1913,-0.0130759543500885
1917,-0.0130759543500885
1919,-0.0130759543500885
1920,-0.0130759543500885
1923,-0.0130759543500885
1924,-0.0130759543500885
1925,-0.0130759543500885
1926,-0.0130759543500885
1927,-0.0130759543500885
1928,-0.0130759543500885
1929,-0.0130759543500885
1931,-0.0130759543500885
1933,-0.0130759543500885
1936,-0.0130759543500885
1938,-0.0130759543500885
1939,-0.0130759543500885
1940,-0.0130759543500885
1941,-0.0130759543500885
1942,-0.0130759543500885
1943,-0.0130759543500885
2002,-0.0130759543500885
2003,-0.0130759543500885
2004,-0.0130759543500885
2012,-0.0130759543500885
2014,-0.0130759543500885
2015,-0.0130759543500885
2017,-0.0130759543500885
2018,-0.0130759543500885
2019,-0.0130759543500885
2020,-0.0130759543500885
2022,-0.0130759543500885
2023,-0.0130759543500885
2024,-0.0130759543500885
2025,-0.0130759543500885
2027,-0.0130759543500885
2028,-0.0130759543500885
2030,-0.0130759543500885
