rgn_id,year,multiplier
1804,2015,1
1804,2016,1
1804,2017,1
1804,2018,1
1805,2015,1
1805,2016,1
1805,2017,1
1805,2018,1
1811,2015,1
1811,2016,1
1811,2017,1
1811,2018,1
1812,2015,1
1812,2016,1
1812,2017,1
1812,2018,1
1813,2015,1
1813,2016,1
1813,2017,1
1813,2018,1
1815,2015,1
1815,2016,1
1815,2017,1
1815,2018,1
1816,2015,1
1816,2016,1
1816,2017,1
1816,2018,1
1818,2015,1
1818,2016,1
1818,2017,1
1818,2018,1
1820,2015,1
1820,2016,1
1820,2017,1
1820,2018,1
1822,2015,1
1822,2016,1
1822,2017,1
1822,2018,1
1824,2015,1
1824,2016,1
1824,2017,1
1824,2018,1
1827,2015,1
1827,2016,1
1827,2017,1
1827,2018,1
1828,2015,1
1828,2016,1
1828,2017,1
1828,2018,1
1832,2015,1
1832,2016,1
1832,2017,1
1832,2018,1
1833,2015,1
1833,2016,1
1833,2017,1
1833,2018,1
1834,2015,1
1834,2016,1
1834,2017,1
1834,2018,1
1835,2015,1
1835,2016,1
1835,2017,1
1835,2018,1
1836,2015,1
1836,2016,1
1836,2017,1
1836,2018,1
1837,2015,1
1837,2016,1
1837,2017,1
1837,2018,1
1838,2015,1
1838,2016,1
1838,2017,1
1838,2018,1
1840,2015,1
1840,2016,1
1840,2017,1
1840,2018,1
1841,2015,1
1841,2016,1
1841,2017,1
1841,2018,1
1845,2015,1
1845,2016,1
1845,2017,1
1845,2018,1
1848,2015,1
1848,2016,1
1848,2017,1
1848,2018,1
1849,2015,1
1849,2016,1
1849,2017,1
1849,2018,1
1850,2015,1
1850,2016,1
1850,2017,1
1850,2018,1
1851,2015,1
1851,2016,1
1851,2017,1
1851,2018,1
1852,2015,1
1852,2016,1
1852,2017,1
1852,2018,1
1853,2015,1
1853,2016,1
1853,2017,1
1853,2018,1
1854,2015,1
1854,2016,1
1854,2017,1
1854,2018,1
1856,2015,1
1856,2016,1
1856,2017,1
1856,2018,1
1857,2015,1
1857,2016,1
1857,2017,1
1857,2018,1
1859,2015,1
1859,2016,1
1859,2017,1
1859,2018,1
1860,2015,1
1860,2016,1
1860,2017,1
1860,2018,1
1865,2015,1
1865,2016,1
1865,2017,1
1865,2018,1
1866,2015,1
1866,2016,1
1866,2017,1
1866,2018,1
1867,2015,1
1867,2016,1
1867,2017,1
1867,2018,1
1868,2015,1
1868,2016,1
1868,2017,1
1868,2018,1
1870,2015,1
1870,2016,1
1870,2017,1
1870,2018,1
1871,2015,1
1871,2016,1
1871,2017,1
1871,2018,1
1874,2015,1
1874,2016,1
1874,2017,1
1874,2018,1
1902,2015,1
1902,2016,1
1902,2017,1
1902,2018,1
1903,2015,1
1903,2016,1
1903,2017,1
1903,2018,1
1911,2015,1
1911,2016,1
1911,2017,1
1911,2018,1
1913,2015,1
1913,2016,1
1913,2017,1
1913,2018,1
1917,2015,1
1917,2016,1
1917,2017,1
1917,2018,1
1919,2015,1
1919,2016,1
1919,2017,1
1919,2018,1
1920,2015,1
1920,2016,1
1920,2017,1
1920,2018,1
1923,2015,1
1923,2016,1
1923,2017,1
1923,2018,1
1924,2015,1
1924,2016,1
1924,2017,1
1924,2018,1
1925,2015,1
1925,2016,1
1925,2017,1
1925,2018,1
1926,2015,1
1926,2016,1
1926,2017,1
1926,2018,1
1927,2015,1
1927,2016,1
1927,2017,1
1927,2018,1
1928,2015,1
1928,2016,1
1928,2017,1
1928,2018,1
1929,2015,1
1929,2016,1
1929,2017,1
1929,2018,1
1931,2015,1
1931,2016,1
1931,2017,1
1931,2018,1
1933,2015,1
1933,2016,1
1933,2017,1
1933,2018,1
1936,2015,1
1936,2016,1
1936,2017,1
1936,2018,1
1938,2015,1
1938,2016,1
1938,2017,1
1938,2018,1
1939,2015,1
1939,2016,1
1939,2017,1
1939,2018,1
1940,2015,1
1940,2016,1
1940,2017,1
1940,2018,1
1941,2015,1
1941,2016,1
1941,2017,1
1941,2018,1
1942,2015,1
1942,2016,1
1942,2017,1
1942,2018,1
1943,2015,1
1943,2016,1
1943,2017,1
1943,2018,1
2002,2015,1
2002,2016,1
2002,2017,1
2002,2018,1
2003,2015,1
2003,2016,1
2003,2017,1
2003,2018,1
2004,2015,1
2004,2016,1
2004,2017,1
2004,2018,1
2012,2015,1
2012,2016,1
2012,2017,1
2012,2018,1
2014,2015,1
2014,2016,1
2014,2017,1
2014,2018,1
2015,2015,1
2015,2016,1
2015,2017,1
2015,2018,1
2017,2015,1
2017,2016,1
2017,2017,1
2017,2018,1
2018,2015,1
2018,2016,1
2018,2017,1
2018,2018,1
2019,2015,1
2019,2016,1
2019,2017,1
2019,2018,1
2020,2015,1
2020,2016,1
2020,2017,1
2020,2018,1
2022,2015,1
2022,2016,1
2022,2017,1
2022,2018,1
2023,2015,1
2023,2016,1
2023,2017,1
2023,2018,1
2024,2015,1
2024,2016,1
2024,2017,1
2024,2018,1
2025,2015,1
2025,2016,1
2025,2017,1
2025,2018,1
2027,2015,1
2027,2016,1
2027,2017,1
2027,2018,1
2028,2015,1
2028,2016,1
2028,2017,1
2028,2018,1
2030,2015,1
2030,2016,1
2030,2017,1
2030,2018,1
